Frontiers in Pediatrics, Life Sciences
Oncotarget, Multidisciplinary
Annals of the New York Academy of Sciences, Multidisciplinary
AJPM Focus, Multidisciplinary
Journal of Clinical Epidemiology, Life Sciences
Critical Public Health, Life Sciences
The Lancet Microbe, Multidisciplinary
Journal of Antimicrobial Chemotherapy, Engineering & Technology
Journal of Critical Public Health, Life Sciences
Global Health Action, Life Sciences
Sociology of Health & Illness, Social Sciences
Journal of Mental Health, Life Sciences
Journal of Health Services Research & Policy, Social Sciences
Health Technology Assessment, Engineering & Technology
BMC Medical Research Methodology, Life Sciences
SSM - Population Health, Life Sciences
International Journal of Health Policy and Management, Business & Economics
Milbank Quarterly, Humanities
Health Promotion International, Life Sciences
Journal of Public Health, Life Sciences
International Journal of Integrated Care, Engineering & Technology
Bulletin of Mathematical Biology, Physical Sciences
Nature Catalysis, Multidisciplinary
ChemCatChem, Multidisciplinary
Catalysis Letters, Engineering & Technology
ACS Catalysis, Multidisciplinary
Carbon Future, Multidisciplinary
Chemistry - Methods, Physical Sciences
Journal of Clinical Anesthesia, Life Sciences
British Journal of Anaesthesia, Engineering & Technology
HPB, Multidisciplinary
Pediatric Anesthesia, Multidisciplinary
Journal of Pediatric Surgery, Engineering & Technology
Perfusion, Multidisciplinary
European Journal of Pain, Engineering & Technology
European Journal of Midwifery, Engineering & Technology
Journal of Comparative Physiology B, Life Sciences
Food Bioscience, Multidisciplinary
Journal of Microbiology and Biotechnology, Engineering & Technology
Journal of Evolutionary Biology, Life Sciences
Food Science and Human Wellness, Life Sciences
Annali Italiani di Chirurgia, Multidisciplinary
Journal of Food Science Nutrition and Health, Life Sciences
Molecular Ecology, Life Sciences
Journal of Experimental Zoology Part B Molecular and Developmental Evolution, Humanities
Surface and Interface Analysis, Multidisciplinary
Clinical Psychology Review, Social Sciences
Acta Neurologica Scandinavica, Life Sciences
Medicina de Familia SEMERGEN, Multidisciplinary
Epidemiology and Psychiatric Sciences, Multidisciplinary
Schizophrenia Bulletin, Multidisciplinary
Schizophrenia Research Cognition, Multidisciplinary
Schizophrenia Research, Multidisciplinary
Early Intervention in Psychiatry, Multidisciplinary
Journal of Interpersonal Violence, Engineering & Technology
Schizophrenia Bulletin Open, Multidisciplinary
Neuropsychopharmacology, Life Sciences
Expert Review of Pharmacoeconomics & Outcomes Research, Business & Economics
Journal of Clinical Child & Adolescent Psychology, Social Sciences
Brain stimulation, Engineering & Technology
The European Journal of Health Economics, Business & Economics
Journal of the American Academy of Child & Adolescent Psychiatry, Engineering & Technology
Biological Psychiatry Global Open Science, Life Sciences
Australasian Psychiatry, Multidisciplinary
NPP—Digital Psychiatry and Neuroscience, Life Sciences
Pilot and Feasibility Studies, Multidisciplinary
Clinical Psychology & Psychotherapy, Social Sciences
BJPsych Bulletin, Multidisciplinary
Community Dentistry And Oral Epidemiology, Multidisciplinary
Addictive Behaviors, Multidisciplinary
International Journal of Mental Health Nursing, Life Sciences
Acta Psychiatrica Scandinavica, Multidisciplinary
The Lancet Psychiatry, Multidisciplinary
Journal of the International AIDS Society, Engineering & Technology
Ocean Science Journal, Multidisciplinary
Nature Human Behaviour, Multidisciplinary
International Journal of Law and Psychiatry, Social Sciences
Journal of Quantitative Criminology, Social Sciences
International Journal of Public Health, Life Sciences
Aggressive Behavior, Multidisciplinary
Journal of Youth and Adolescence, Engineering & Technology
International Criminology, Social Sciences
European Journal of Political Research, Social Sciences
Journal of Developmental and Life-Course Criminology, Social Sciences
Criminology, Social Sciences
Journal of the Academy of Nutrition and Dietetics, Life Sciences
Advances in Nutrition, Life Sciences
Journal of Nutrition, Life Sciences
American Journal of Preventive Medicine, Life Sciences
British Journal Of Nutrition, Life Sciences
Public Health Nutrition, Life Sciences
Preventive Medicine Reports, Life Sciences
International Journal of Behavioral Nutrition and Physical Activity, Life Sciences
Cleaner Water, Multidisciplinary
Case Studies in Chemical and Environmental Engineering, Engineering & Technology
Applied Water Science, Multidisciplinary
e-Jurnal Penyelidikan dan Inovasi, Multidisciplinary
Case Studies on Transport Policy, Social Sciences
Biochemia Medica, Multidisciplinary
Acta Clinica Croatica, Multidisciplinary
Croatian Medical Journal, Life Sciences
Libri Oncologici Croatian Journal of Oncology, Life Sciences
eJHaem, Multidisciplinary
Clinical Lymphoma Myeloma & Leukemia, Life Sciences
Journal of Geophysical Research Oceans, Engineering & Technology
AGU Advances, Multidisciplinary
Nature Climate Change, Physical Sciences
Journal of Mechanical Engineering, Engineering & Technology
Ocean Dynamics, Multidisciplinary
International Journal of Aerospace Engineering, Engineering & Technology
eGastroenterology, Multidisciplinary
Bioinformatics Advances, Engineering & Technology
Animal Models and Experimental Medicine, Life Sciences
Journal of Integrative Agriculture, Life Sciences
Frontiers in Computational Neuroscience, Life Sciences
Machine Learning with Applications, Engineering & Technology
Progress in Social Sciences, Social Sciences
Journal of Behavioral Addictions, Engineering & Technology
SA Journal of Human Resource Management, Business & Economics
Indonesian Journal of Learning Education and Counseling, Social Sciences
Ultima InfoSys Jurnal Ilmu Sistem Informasi, Multidisciplinary
IJNMT (International Journal of New Media Technology), Social Sciences
Salud Ciencia y Tecnología, Multidisciplinary
Journal of Advanced Research in Applied Mechanics, Engineering & Technology
Erbil Journal of Nursing and Midwifery, Engineering & Technology
Zoomorphology, Multidisciplinary
Transplantation and Cellular Therapy, Multidisciplinary
The Lancet Haematology, Multidisciplinary
Current Hematologic Malignancy Reports, Multidisciplinary
Bone Marrow Transplantation, Multidisciplinary
The Lancet Rheumatology, Multidisciplinary
Journal of Cardiothoracic and Vascular Anesthesia, Engineering & Technology
Cytotherapy, Multidisciplinary
Nutrition Metabolism and Cardiovascular Diseases, Life Sciences
Stem Cells Translational Medicine, Life Sciences
Clinical Infectious Diseases, Life Sciences
Clinical Drug Investigation, Life Sciences
Mediterranean Journal of Hematology and Infectious Diseases, Engineering & Technology
Annals of Microbiology, Life Sciences
Journal of Clinical Immunology, Life Sciences
Pediatric Hematology/Oncology and Immunopathology, Life Sciences
The Scientific Notes of the Pavlov University, Multidisciplinary
Meditsinskiy sovet = Medical Council, Life Sciences
Russian Journal of Pediatric Hematology and Oncology, Life Sciences
Clinical Transplantation, Life Sciences
Andrology, Multidisciplinary
Journal of Dental Research, Engineering & Technology
Current Research in Translational Medicine, Life Sciences
Nature Reviews Clinical Oncology, Life Sciences
ACS Pharmacology & Translational Science, Life Sciences
Clinics, Multidisciplinary
Epidemiology and Infection, Multidisciplinary
Brazilian Journal of Microbiology, Life Sciences
Sports Medicine, Life Sciences
European Journal of Sport Science, Multidisciplinary
BMJ Open Sport & Exercise Medicine, Life Sciences
Archives of Osteoporosis, Multidisciplinary
Ecological Informatics, Engineering & Technology
Genetica, Multidisciplinary
Sustainability Science, Engineering & Technology
Ecological Solutions and Evidence, Multidisciplinary
Eating and Weight Disorders - Studies on Anorexia Bulimia and Obesity, Multidisciplinary
Stem Cells International, Multidisciplinary
Cell Transplantation, Multidisciplinary
Rapid Communications in Mass Spectrometry, Social Sciences
Phytomedicine, Life Sciences
Journal of Pharmacological Sciences, Multidisciplinary
Mitochondrial DNA Part B, Humanities
The Journal of Steroid Biochemistry and Molecular Biology, Physical Sciences
Current Research in Chemical Biology, Physical Sciences
Sensing and Bio-Sensing Research, Multidisciplinary
Science China Chemistry, Physical Sciences
eScience, Multidisciplinary
SmartMat, Humanities
Phytochemistry, Physical Sciences
Natural Products and Bioprospecting, Multidisciplinary
Chinese Herbal Medicines, Life Sciences
Journal of Traditional Chinese Medical Sciences, Life Sciences
Advanced Therapeutics, Multidisciplinary
Current Treatment Options in Rheumatology, Multidisciplinary
Autoimmunity Reviews, Engineering & Technology
Journal of Autoimmunity, Engineering & Technology
Seminars in Arthritis and Rheumatism, Humanities
Clinical Rheumatology, Life Sciences
Medicina Clínica, Multidisciplinary
ACR Open Rheumatology, Multidisciplinary
Neuromuscular Disorders, Life Sciences
Jurnal Pendidikan Progresif, Multidisciplinary
Orbital - The Electronic Journal of Chemistry, Engineering & Technology
EDUCATUM Journal of Science Mathematics and Technology, Engineering & Technology
Laboratory Animal Research, Multidisciplinary
SLEEP Advances, Multidisciplinary
Histochemistry and Cell Biology, Physical Sciences
BMC Digital Health, Life Sciences
Purinergic Signalling, Engineering & Technology
Gynecologic Oncology, Life Sciences
Journal of Gynecology Obstetrics and Human Reproduction, Life Sciences
Journal of Geriatric Oncology, Life Sciences
Results in Chemistry, Physical Sciences
Journal of Pineal Research, Engineering & Technology
Urology, Multidisciplinary
Progrès en Urologie, Multidisciplinary
BJUI Compass, Multidisciplinary
KIDNEYS, Multidisciplinary
Continence, Multidisciplinary
Antiviral Research, Multidisciplinary
Arabian Journal of Geosciences, Physical Sciences
GeoHealth, Life Sciences
Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca, Multidisciplinary
Joint Diseases and Related Surgery, Multidisciplinary
Journal of Turkish Spinal Surgery, Engineering & Technology
Health Sciences Review, Life Sciences
Journal of Financial Services Marketing, Business & Economics
Pakistan Journal of Science, Multidisciplinary
Asia-Pacific Financial Markets, Business & Economics
Biological Psychiatry, Life Sciences
Australian & New Zealand Journal of Psychiatry, Engineering & Technology
Acta Neurochirurgica, Life Sciences
Epileptic Disorders, Multidisciplinary
Journal of Clinical Neuroscience, Life Sciences
Heterocyclic Communications, Social Sciences
Journal of Ultrasound in Medicine, Life Sciences
Biomedical Reports, Life Sciences
Bioelectronic Medicine, Engineering & Technology
AMBIO, Multidisciplinary
Journal of Clinical and Translational Hepatology, Life Sciences
npj Flexible Electronics, Engineering & Technology
Journal of Human Genetics, Life Sciences
Japan Journal of Nursing Science, Multidisciplinary
Infection Genetics and Evolution, Life Sciences
Reproductive Toxicology, Multidisciplinary
Journal of Food Biochemistry, Physical Sciences
Brazilian Journal of Poultry Science, Multidisciplinary
Current Research in Food Science, Life Sciences
Comparative Biochemistry and Physiology Part D Genomics and Proteomics, Humanities
Animal Advances, Multidisciplinary
American Journal of Enology and Viticulture, Engineering & Technology
Smart Agricultural Technology, Humanities
Inorganic Chemistry, Physical Sciences
Journal of Nematology, Engineering & Technology
Talanta Open, Multidisciplinary
Applied Magnetic Resonance, Multidisciplinary
Concepts in Magnetic Resonance Part A, Humanities
Magnetic Resonance in Chemistry, Physical Sciences
Food Analytical Methods, Multidisciplinary
GCB Bioenergy, Physical Sciences
Remote Sensing of Environment, Multidisciplinary
Macromolecular Materials and Engineering, Engineering & Technology
European Journal of Organic Chemistry, Physical Sciences
Journal of Healthcare Leadership, Life Sciences
BMJ Simulation & Technology Enhanced Learning, Engineering & Technology
Advances in Simulation, Multidisciplinary
Cureus Journal of Computer Science., Engineering & Technology
Spectrochimica Acta Part A Molecular and Biomolecular Spectroscopy, Humanities
